	I_P72_A001	I_P72_A50	I_P72_A100	I_P72_A150	I_P72_A200	II_P72_A001	II_P72_A50	II_P72_A100	II_P72_A150	II_P72_A200	III_P72_A001	III_P72_A50	III_P72_A100	III_P72_A150	III_P72_A200	FT_A001	FT_A40	FT_A60	FT_A80	FT_A100	FA_A001	FA_A25	FA_A50	FA_A75	FA_A100	FDOC_A001	FDOC_A25	FDOC_A50	FDOC_A75	FDOC_A100	SF99_A001	SF99_A50	SF99_A100	SF99_A150L	SF99_A200L	1SFNV_THU_A001	1SFNV_THU_A25	1SFNV_THU_A50	1SFNV_THU_A25E	F51	F52	F53	F54	F55	FS31	FS32	FS33	FS34	FS35	P11	P12	P13	P14	P15	F21	F22	F23	F24	F25	FS11	FS12	FS13	FS14	FS15	FS41	FS42	FS43	P21	P22	P23	P24	P25
I_P72_A001	0.00	49.47	100.57	152.34	203.21	918.05	887.48	852.34	832.34	810.62	8253.55	8237.35	8211.98	8196.27	8186.86	7403.52	7427.61	7453.54	7451.15	7445.58	6571.02	6577.90	6574.44	6581.45	6579.74	5496.82	5430.48	5455.34	5478.93	5509.17	4242.73	4273.31	4303.05	4307.32	4350.94	9400.96	9379.01	9359.02	9368.04	1158063.41	1158029.53	1157977.15	1157903.87	1157854.29	1163689.14	1163706.83	1163731.32	1163739.20	1163760.32	1167549.82	1167498.73	1167450.42	1167397.03	1167347.16	1191597.56	1191629.58	1191669.54	1191714.73	1191770.56	1217023.08	1216983.00	1216958.67	1216913.02	1216875.45	1166310.42	1166276.40	1166249.17	1161210.28	1161176.96	1161135.48	1161116.33	1161076.14
I_P72_A50	49.47	0.00	55.48	106.19	156.42	962.47	930.72	894.72	873.06	849.86	8281.75	8265.33	8239.69	8223.70	8214.08	7387.00	7411.00	7436.72	7434.24	7428.53	6546.09	6553.09	6549.83	6556.95	6555.43	5476.41	5409.83	5434.78	5458.48	5488.79	4239.81	4269.87	4299.28	4304.30	4348.31	9450.16	9428.21	9408.20	9417.26	1158031.11	1157997.23	1157944.85	1157871.57	1157821.99	1163657.03	1163674.72	1163699.20	1163707.08	1163728.20	1167517.78	1167466.69	1167418.38	1167364.99	1167315.12	1191564.12	1191596.15	1191636.11	1191681.30	1191737.12	1216989.68	1216949.59	1216925.27	1216879.61	1216842.05	1166278.20	1166244.18	1166216.94	1161178.15	1161144.83	1161103.36	1161084.20	1161044.01
I_P72_A100	100.57	55.48	0.00	51.77	102.67	1017.46	986.01	950.12	928.54	905.26	8333.28	8316.75	8290.98	8274.83	8265.11	7343.00	7366.94	7392.50	7389.96	7384.15	6496.55	6503.62	6500.47	6507.67	6506.25	5429.76	5363.00	5388.01	5411.80	5442.14	4268.01	4297.57	4326.65	4332.40	4376.76	9493.18	9471.21	9451.12	9460.38	1158023.88	1157989.99	1157937.62	1157864.34	1157814.76	1163650.07	1163667.76	1163692.24	1163700.12	1163721.24	1167510.94	1167459.85	1167411.53	1167358.15	1167308.28	1191555.21	1191587.24	1191627.19	1191672.39	1191728.22	1216980.82	1216940.73	1216916.40	1216870.75	1216833.18	1166271.08	1166237.06	1166209.83	1161171.17	1161137.86	1161096.38	1161077.23	1161037.05
I_P72_A150	152.34	106.19	51.77	0.00	50.95	1068.65	1036.79	1000.57	978.28	954.31	8374.21	8357.51	8331.53	8315.17	8305.28	7312.57	7336.43	7361.80	7359.17	7353.25	6458.82	6465.98	6463.00	6470.30	6469.04	5396.00	5329.03	5354.12	5378.01	5408.40	4281.43	4310.46	4339.20	4345.70	4390.44	9540.89	9518.92	9498.78	9508.16	1158003.10	1157969.21	1157916.84	1157843.56	1157793.98	1163629.54	1163647.22	1163671.70	1163679.57	1163700.69	1167490.49	1167439.40	1167391.08	1167337.70	1167287.83	1191532.99	1191565.02	1191604.98	1191650.17	1191706.00	1216958.65	1216918.55	1216894.22	1216848.57	1216811.00	1166250.39	1166216.38	1166189.15	1161150.62	1161117.30	1161075.83	1161056.68	1161016.49
I_P72_A200	203.21	156.42	102.67	50.95	0.00	1118.60	1086.26	1049.66	1026.60	1001.91	8412.78	8395.89	8369.70	8353.11	8343.05	7285.27	7309.06	7334.22	7331.51	7325.46	6423.94	6431.21	6428.41	6435.81	6434.71	5365.34	5298.15	5323.32	5347.31	5377.75	4292.39	4320.89	4349.29	4356.54	4401.64	9588.94	9566.96	9546.78	9556.26	1157980.02	1157946.14	1157893.77	1157820.49	1157770.91	1163606.69	1163624.37	1163648.85	1163656.72	1163677.84	1167467.73	1167416.64	1167368.32	1167314.94	1167265.07	1191508.53	1191540.56	1191580.52	1191625.72	1191681.54	1216934.24	1216894.14	1216869.81	1216824.15	1216786.58	1166227.41	1166193.40	1166166.17	1161127.75	1161094.44	1161052.96	1161033.81	1160993.63
II_P72_A001	918.05	962.47	1017.46	1068.65	1118.60	0.00	56.55	102.58	158.54	206.79	7460.35	7446.85	7424.75	7412.50	7405.70	8094.08	8119.11	8147.60	8146.35	8142.47	7359.90	7365.52	7360.02	7365.75	7362.16	6240.61	6177.36	6201.05	6223.23	6252.70	3973.55	4012.84	4047.95	4038.40	4074.06	8643.86	8622.19	8603.52	8609.29	1158285.34	1158251.44	1158199.05	1158125.77	1158076.18	1163906.55	1163924.28	1163948.81	1163956.72	1163977.88	1167765.50	1167714.41	1167666.09	1167612.70	1167562.83	1191846.62	1191878.64	1191918.57	1191963.75	1192019.55	1217271.27	1217231.24	1217206.93	1217161.31	1217123.77	1166530.51	1166496.46	1166469.20	1161428.04	1161394.70	1161353.20	1161334.02	1161293.79
II_P72_A50	887.48	930.72	986.01	1036.79	1086.26	56.55	0.00	47.28	102.09	150.33	7462.80	7448.95	7426.43	7413.75	7406.62	8099.01	8123.97	8152.23	8150.88	8146.85	7354.85	7360.61	7355.34	7361.22	7357.84	6239.99	6176.41	6200.23	6222.55	6252.11	3933.80	3972.71	4007.61	3998.70	4034.78	8697.13	8675.47	8656.86	8662.50	1158232.27	1158198.37	1158145.99	1158072.71	1158023.12	1163853.59	1163871.32	1163895.84	1163903.75	1163924.91	1167712.58	1167661.49	1167613.17	1167559.78	1167509.91	1191792.98	1191825.00	1191864.94	1191910.11	1191965.92	1217217.65	1217177.62	1217153.31	1217107.69	1217070.14	1166477.48	1166443.43	1166416.17	1161375.07	1161341.73	1161300.22	1161281.05	1161240.82
II_P72_A100	852.34	894.72	950.12	1000.57	1049.66	102.58	47.28	0.00	57.21	105.09	7479.51	7465.40	7442.55	7429.52	7422.14	8088.80	8113.69	8141.77	8140.33	8136.18	7336.70	7342.57	7337.48	7343.47	7340.25	6225.37	6161.54	6185.45	6207.89	6237.52	3912.90	3951.41	3986.08	3977.86	4014.37	8744.39	8722.73	8704.12	8709.76	1158195.05	1158161.15	1158108.76	1158035.48	1157985.90	1163816.51	1163834.24	1163858.77	1163866.67	1163887.83	1167675.56	1167624.47	1167576.15	1167522.76	1167472.89	1191754.89	1191786.90	1191826.84	1191872.02	1191927.82	1217179.58	1217139.55	1217115.24	1217069.61	1217032.07	1166440.32	1166406.27	1166379.01	1161337.98	1161304.64	1161263.14	1161243.96	1161203.74
II_P72_A150	832.34	873.06	928.54	978.28	1026.60	158.54	102.09	57.21	0.00	48.25	7475.93	7461.46	7438.20	7424.73	7417.02	8101.26	8126.07	8153.92	8152.39	8148.08	7339.20	7345.22	7340.36	7346.50	7343.49	6232.50	6168.34	6192.38	6214.96	6244.67	3868.86	3907.02	3941.47	3933.85	3970.75	8795.69	8774.04	8755.50	8760.97	1158139.39	1158105.49	1158053.10	1157979.82	1157930.24	1163760.92	1163778.65	1163803.17	1163811.08	1163832.23	1167619.99	1167568.90	1167520.58	1167467.19	1167417.32	1191698.85	1191730.86	1191770.80	1191815.98	1191871.78	1217123.56	1217083.52	1217059.21	1217013.59	1216976.04	1166384.69	1166350.64	1166323.38	1161282.38	1161249.04	1161207.54	1161188.36	1161148.14
II_P72_A200	810.62	849.86	905.26	954.31	1001.91	206.79	150.33	105.09	48.25	0.00	7481.34	7466.57	7442.96	7429.12	7421.14	8104.05	8128.79	8156.46	8154.83	8150.39	7333.57	7339.71	7335.05	7341.31	7338.48	6230.83	6166.40	6190.54	6213.24	6243.02	3837.74	3875.53	3909.77	3902.76	3940.04	8841.94	8820.31	8801.80	8807.18	1158094.97	1158061.07	1158008.69	1157935.41	1157885.82	1163716.60	1163734.33	1163758.85	1163766.76	1163787.91	1167575.71	1167524.62	1167476.30	1167422.91	1167373.04	1191653.88	1191685.89	1191725.83	1191771.01	1191826.81	1217078.60	1217038.57	1217014.25	1216968.63	1216931.08	1166340.31	1166306.26	1166279.00	1161238.06	1161204.72	1161163.21	1161144.04	1161103.81
