SampleID	Bulk_dens	Mois_cont	N_percent	C_percent	Low_final_k	Low_r2	Vmax	High_final_k	High_r2	Site	Experiment	Description	Land_type	Wetland	WFPS	Sample_names	pmoa_copy_num	pmoa_transcript_num	RNA_troph_rel_abun	DNA_troph_rel_abun	DNA_troph_rich	DNA_troph_shan	DNA_troph_even	RNA_troph_rich	RNA_troph_shan	RNA_troph_even	PC1_dna	PC2_dna	PC3_dna	PC1_rna	PC2_rna	PC3_rna	PC1_16S_dna	PC2_16S_dna	PC3_16S_dna	PC1_16S_rna	PC2_16S_rna	PC3_16S_rna
10G1MO	0.183908946	80.60661913	2.268196543	32.46500735	-1.094873567	0.959555897	-0.550634274	-12.31931776	0.99927743	10G	MO	Thorny_wetland	Mineral_soil_wetland	Wetland	0.159298002	10G1MO	113.2264205	15.05813008	0.022453571	NA	NA	NA	NA	25	2.461053964	0.764569402	NA	NA	NA	-15.97428448	13.84189693	-0.007757503	NA	NA	NA	-88.84882781	185.1255118	-19.55709936
10G2MO	0.222746978	75.23016221	1.313110831	20.01585372	-2.036224928	0.789056671	-0.514416706	-10.68138813	0.996701414	10G	MO	Thorny_wetland	Mineral_soil_wetland	Wetland	0.182950939	10G2MO	51.855014	4.717059484	0.010832143	0.005878571	18	2.752943589	0.952453117	20	2.429330778	0.810930536	-24.8048385	6.161990482	-1.251197617	-13.16648054	-0.253265966	-1.325574333	-243.3625862	-6.181564672	1.793581334	-84.19882773	21.1572408	-3.978738706
10G3MO	0.957935068	24.43609579	0.204734357	2.971184209	-2.584036893	0.880510248	-0.254540078	-6.072653152	0.996802002	10G	MO	Thorny_wetland	Mineral_soil_wetland	Wetland	0.366603613	10G3MO	40.01511195	10.7826489	0.009157143	NA	NA	NA	NA	23	2.940249025	0.937730649	NA	NA	NA	-13.01244169	-16.46757549	0.148491852	NA	NA	NA	-193.7412822	-101.994259	-0.173174115
1R1MO	1.169342023	12.68949629	0.15563024	1.729996585	-7.631052926	0.917233128	-0.201203417	-3.833742345	0.999961946	1R	MO	Laterite_mine	Upland_forest	Upland	0.265568808	1R1MO	9.14499316	2.050991537	0.000803571	0.006092857	10	1.858154463	0.80698623	3	0.948530063	0.863389271	0.525930652	-1.033224459	0.18015061	1.243390998	0.077174785	-0.287006871	6.296040136	8.396528362	-5.784301556	14.24644641	-4.841593611	9.909005874
1R2MO	1.260786876	13.04721994	0.15136406	1.790548853	-6.09157974	0.975768444	-0.107106418	-2.063133054	0.997493453	1R	MO	Laterite_mine	Upland_forest	Upland	0.313788237	1R2MO	14.04936333	0.314402249	0.000114286	0.004167857	10	2.065966658	0.89723792	1	0	NA	0.504421994	-0.939318436	-0.156586118	1.121277762	0.065670082	-0.127393534	6.178754394	7.083716469	-2.319913551	10.79130271	-3.366226492	8.840280074
1R3MO	1.155805035	12.96023985	0.191317487	2.538513023	-3.560832403	0.957773353	-0.0176155	-0.246200302	0.993869346	1R	MO	Laterite_mine	Upland_forest	Upland	0.265666153	1R3MO	8.44289817	0.86617585	0.002432143	0.005110714	9	1.888497509	0.859492256	6	1.679368538	0.937273427	0.461922899	-0.854380216	-0.083260711	1.461235453	0.092275171	-0.029337323	2.458491373	8.286300566	-10.26665461	10.49317023	-3.605917468	12.56386023
2G1MO	1.394810805	2.022837498	0.253936664	9.516410179	-1.809801224	0.998475015	-0.07698842	-0.603792	0.97607443	2G	MO	Grassland	Grassland	Upland	0.059567995	2G1MO	NA	0.019045746	0.000914286	0.002378571	7	1.753980444	0.901367643	3	0.885789538	0.806280384	0.372025052	-0.673748884	0.066934843	1.209810536	0.071945997	-0.138634106	10.07510505	-98.87076309	49.11239101	15.46216824	-8.549565277	-43.88392401
2G2MO	1.521391533	2.242953305	0.050847611	1.011494406	0.197972051	0.730202237	-0.126679171	-4.780274984	0.99987595	2G	MO	Grassland	Grassland	Upland	0.080124217	2G2MO	23.07692534	NA	NA	0.004725	7	1.611098783	0.827940994	NA	NA	NA	0.37789246	-0.684939436	-0.012380094	NA	NA	NA	10.20124399	-98.85400327	47.1528142	NA	NA	NA
2G3MO	1.407742982	0.935029737	0.027276819	0.619532694	0.366262106	0.991097308	-0.018362906	-0.406016452	0.936729162	2G	MO	Grassland	Grassland	Upland	0.028079102	2G3MO	8.00646658	0.857854512	0.000592857	0.000925	4	1.313601427	0.947563132	2	0.33034546	0.476587758	0.334050808	-0.589279959	-0.195844985	1.145521982	0.066371399	-0.120724893	10.87293359	-111.0354346	51.07336767	16.82806806	-9.93695318	-52.74051241
2R1MO	0.412591134	57.08351794	0.917051679	12.60715301	-3.733606177	0.999060806	-0.303979347	-3.122917733	0.994194548	2R	MO	Wetland_outside_plot	Mineral_soil_wetland	Wetland	0.278953067	2R1MO	46.30694376	2.045413035	0.006085714	0.010357143	15	2.498290176	0.922542047	8	1.871138209	0.899827272	-0.20275481	-0.750948889	5.302963886	0.737133953	0.322054039	4.07679213	5.656662418	22.29050157	1.733141189	8.729617637	3.312553203	22.45875879
