"Site" "X" "Y"
"1" "9G3" 0 36458.8738726985
"2" "9G2" 19.484803911997 36459.171863534
"3" "9G1" 32.013362698257 36457.2820135967
"4" "8G3" 2224.56932554045 36571.4012511235
"5" "8G2" 2232.07887501339 36564.906151372
"6" "8G1" 2247.60471112467 36565.2271738136
"7" "7G3" 2335.76240905537 36455.3608834802
"8" "7G2" 2350.34743930749 36480.4344183544
"9" "7G1" 2338.26397742005 36491.6317776195
"10" "5G3" 7413.27040586225 39604.6487877662
"11" "5G2" 7398.04944898491 39589.7485312759
"12" "5G1" 7390.55251576053 39573.9986447918
"13" "4G3" 5288.19462714903 17665.1145263826
"14" "4G2" 5276.99707101518 17656.9316401351
"15" "4G1" 5245.5259841613 17666.0899463163
"16" "3G3" 5155.38794993795 17754.7966370592
"17" "3G2" 5144.56924207928 17736.0174186893
"18" "3G1" 5136.19304547226 17724.0983304274
"19" "2G3" 4853.38219539053 17897.2598712794
"20" "2G2" 4856.82618005201 17918.6612721833
"21" "2G1" 4857.15448325663 17934.5710540914
"22" "1G3" 5824.21504679485 9154.04337400128
"23" "1G2" 5837.35207256605 9175.56313401507
"24" "1G1" 5843.22072602971 9190.11993851606
"25" "10G3" 618.228012229316 21247.6145613941
"26" "10G2" 610.038798112888 21233.9561945312
"27" "10G1" 605.35468893894 21245.5809209726
"28" "1R1" 101982.43354662 0
"29" "1R2" 101989.272866623 4.2791699054651
"30" "1R3" 102014.851067304 1.18879125989042
"31" "2R1" 93123.1876039214 2913.27576759248
"32" "2R2" 93135.3463793898 2909.4946493865
"33" "2R3" 93151.0379132135 2911.22736222297
"34" "3R1" 93119.9176698499 2949.4212530076
"35" "3R2" 93111.5545902711 3000.37553685019
"36" "3R3" 93111.9643977934 3012.74975770526
"37" "4R1" 93093.3200950255 3326.44078678056
"38" "4R2" 93097.3001059482 3345.45372561249
"39" "4R3" 93117.0062609513 3333.5392612943
"40" "5R1" 93051.6369571346 3315.4338712669
"41" "5R2" 93047.7340073474 3332.45565739693
"42" "5R3" 93057.1797014805 3347.90904364013
"43" "6R1" 89053.9565340162 2285.75182781857
"44" "6R2" 89041.9033927412 2259.12082735007
"45" "6R3" 89041.2683310276 2239.99479680695
"46" "7R1" 92229.9125794712 2377.51876641437
"47" "7R2" 92237.6841595522 2376.13516214211
"48" "7R3" 92259.9578649958 2374.27122519119
