SampleID	CH4	CO2	H_CH4	A_CH4	H_CH4_percent	A_CH4_percent	Mois_cont	pH	N_percent	C_percent	Site	Description	Land_type	Wetland	WFPS	Sample_names	Copies	RNA_gen_rel_abun	DNA_gen_rel_abun	DNA_gen_rich	DNA_gen_shan	DNA_gen_even	RNA_gen_rich	RNA_gen_shan	RNA_gen_even	PC1_dna	PC2_dna	PC3_dna	PC1_rna	PC2_rna	PC3_rna	PC1_16S_tr_dna	PC2_16S_tr_dna	PC3_16S_tr_dna	PC1_16S_tr_cdna	PC2_16S_tr_cdna	PC3_16S_tr_cdna
10G1tr	6.654446383	-0.020254853	0.844406162	5.81004022	12.68935256	87.31064744	79.41155019	5.7	2.043449425	40.68334458	10G	Thorny_wetland	Mineral_soil_wetland	Wetland	0.156936259	10G1tr	7676.013624	0.009319079	0.018371711	33	3.287891276	0.940335812	20	2.54679241	0.850140192	-2.090456182	8.92670957	3.547578021	-0.974545267	5.570018689	-6.041629764	-58.8043807	85.38565687	85.96656523	-55.33348987	116.4378667	8.075059645
10G2tr	2.168641909	-1.2733355	0.584966993	1.583674916	26.97388583	73.02611417	64.73340635	6.42	0.553715078	8.665066627	10G	Thorny_wetland	Mineral_soil_wetland	Wetland	0.157424059	10G2tr	898.3214695	0.006907895	0.007131579	20	2.618489816	0.874073374	19	2.709829994	0.920321329	-2.385268197	5.116783981	2.461503612	-0.267239894	4.250514586	-4.029367805	-110.774276	-50.81459789	-54.79515378	-82.31092606	-59.18725812	-0.633588752
10G3tr	1.913448122	-1.069021498	0.601629267	1.311818856	31.44215197	68.55784803	58.20510452	6.33	0.351270586	6.108706508	10G	Thorny_wetland	Mineral_soil_wetland	Wetland	0.873224666	10G3tr	NA	0.018042763	0.007736842	18	2.509231822	0.868134632	23	2.269005329	0.723651575	-2.85629284	5.204746667	2.369538773	-1.112028937	5.555063328	-5.854936891	-90.77752294	-1.677446626	4.107976345	-98.16734811	-25.07396967	3.045907222
2R1tr	1.025478586	0.900984607	0.374695314	0.650783272	36.53858005	63.46141995	63.37689951	4.96	0.556351823	8.302893603	2R	Wetland_outside_plot	Mineral_soil_wetland	Wetland	0.30970727	2R1tr	2613.550125	0.023529605	0.025509868	39	3.346387859	0.913424744	24	2.890008364	0.909364195	9.644814733	0.426119892	-14.05025298	3.758937484	0.21956023	-0.278611134	20.74947476	41.06731133	-48.87859329	21.54044846	-3.401143151	23.52411263
2R2tr	0.645488866	0.478888617	0.115268635	0.530220231	17.85757138	82.14242862	43.22264522	5.11	0.205246487	2.613212886	2R	Wetland_outside_plot	Mineral_soil_wetland	Wetland	0.24406048	2R2tr	1030.175298	0.009582237	0.009601974	22	2.942215427	0.951852157	18	2.567205492	0.888192145	1.501808597	0.609629248	-0.033103191	1.035109259	0.984898286	0.557915041	19.85095872	22.3768099	-26.43197598	25.30946185	-4.115802156	20.29258321
2R3tr	0.440450583	0.775782038	0.134149267	0.306301316	30.45727987	69.54272013	39.23431821	5.04	0.197799127	2.858631196	2R	Wetland_outside_plot	Mineral_soil_wetland	Wetland	0.365306167	2R3tr	1900.454799	0.026069079	0.024519737	41	3.474791021	0.935700441	50	3.612830197	0.92351967	11.25003219	-2.768110336	5.279142745	14.47455697	-8.62075956	-1.233804891	23.19314596	36.17512524	-45.7016252	38.32508331	-11.66077401	72.78438199
3G1tr	0.211752328	2.835618703	0.165556669	0.046195659	78.18410819	21.81589181	82.18877632	4.18	1.640896327	41.12638808	3G	Peatland	Open_peatland	Wetland	0.052219993	3G1tr	NA	NA	0.005236842	7	1.363721094	0.700814009	NA	NA	NA	-1.546878338	0.294563131	-0.147452853	NA	NA	NA	18.72003329	-38.06303122	29.96770943	NA	NA	NA
3G2tr	0.347853693	3.521575216	0.30175454	0.046099154	86.74754515	13.25245485	80.33486073	4.15	1.617085207	38.01048464	3G	Peatland	Open_peatland	Wetland	0.0847609	3G2tr	NA	NA	0.009671053	7	1.105122597	0.567920671	NA	NA	NA	-1.64868938	0.546563467	-0.289597635	NA	NA	NA	16.00775752	-31.04956934	24.60032171	NA	NA	NA
3G3tr	0.14217459	3.118340571	0.137476711	0.004697879	96.69569723	3.304302772	81.97043682	4	1.631492184	39.70988299	3G	Peatland	Open_peatland	Wetland	0.08698627	3G3tr	NA	NA	0.003976974	8	1.564688402	0.752456066	NA	NA	NA	-1.522364604	0.044922395	-0.171680997	NA	NA	NA	27.37199608	-65.77965021	52.2803317	NA	NA	NA
4G1tr	0.478944372	1.224730179	0.206445696	0.272498676	43.10431614	56.89568386	77.13856131	3.36	1.218416905	42.36569248	4G	Peat_forest	Forested_peatland	Wetland	0.077991968	4G1tr	779.749	NA	0.044210526	22	2.356231613	0.762277338	NA	NA	NA	-4.417844319	-5.425654206	-0.453741812	NA	NA	NA	11.37109387	-7.706004752	4.762172535	NA	NA	NA
4G2tr	0.321355352	3.941168386	0.322104363	-0.000749012	100.2330789	-0.233078896	79.08827001	3.3	1.137777124	47.23062639	4G	Peat_forest	Forested_peatland	Wetland	0.137945305	4G2tr	NA	0.046648026	NA	NA	NA	NA	32	2.890851051	0.834123295	NA	NA	NA	-8.607952737	-9.175901345	-2.534285475	NA	NA	NA	11.15262078	-1.716661178	-10.09902788
4G3tr	0.761107253	4.294597402	0.420451103	0.34065615	55.24203076	44.75796924	80.91843143	3.3	1.280911988	44.08701119	4G	Peat_forest	Forested_peatland	Wetland	0.089885378	4G3tr	2879.345246	0.031220395	0.046773026	30	3.05108391	0.897061701	30	3.194724599	0.93929409	-8.025310964	-12.75564235	-1.642359306	-7.861935223	-7.654958566	-0.651241398	11.78409302	-7.429127711	4.531869129	13.03032524	-1.823624597	-12.14129663
4R1tr	2.264322358	1.317950603	0.405016575	1.859305784	17.88687786	82.11312214	72.8420033	4.37	0.929602933	19.13576949	4R	Wetland_in_plot	Mineral_soil_wetland	Wetland	1.162866348	4R1tr	6647.099014	0.012917763	0.023388158	37	3.302923249	0.914704607	19	2.741567876	0.931100252	9.036021011	-5.629602451	8.262528996	1.4520375	0.491687451	1.218950927	17.52872068	11.77713328	-16.24172341	22.55154192	-3.654683347	11.35632012
4R2tr	0.057974026	0.584827078	0.025352104	0.032621923	43.73010674	56.26989326	10.55721792	4.2	0.027097351	0.539749576	4R	Wetland_in_plot	Mineral_soil_wetland	Wetland	0.022059679	4R2tr	NA	NA	0.012503289	18	2.524443714	0.873397585	NA	NA	NA	-2.972461962	-2.07788944	0.323487787	NA	NA	NA	15.91582839	-11.77923644	7.498746228	NA	NA	NA
4R3tr	0.273098163	0.708375339	0.116629613	0.156468551	42.70611386	57.29388614	23.46758134	5.47	0.043668581	0.637551183	4R	Wetland_in_plot	Mineral_soil_wetland	Wetland	0.276506547	4R3tr	531.9152082	0.013345395	0.009421053	19	2.806517315	0.953158593	25	2.893832107	0.899019491	1.361930365	1.525086301	-0.978497191	2.243220025	2.129302315	0.728019433	12.6451325	13.432756	-11.84792457	27.24528523	-0.948055364	30.0366224
7R1tr	0.273252503	1.238406353	0.127199823	0.14605268	46.55028639	53.44971361	28.99263115	4.33	0.263170389	10.15282969	7R	Oil_pipe_wetland	Mineral_soil_wetland	Wetland	0.574056362	7R1tr	1109.255178	0.005720395	0.005963816	12	2.335833801	0.940008673	10	1.814880099	0.788192412	-1.526756364	1.255065365	-0.908083529	-1.424624863	1.454742453	2.060514196	17.02737228	-0.421537968	-2.262132237	21.83100939	-2.764684921	-21.92033448
7R2tr	0.888617852	0.802298266	0.340196768	0.548421084	38.28380977	61.71619023	32.49738119	4.6	0.140368304	2.445831057	7R	Oil_pipe_wetland	Mineral_soil_wetland	Wetland	0.779403616	7R2tr	1546.164792	0.017625	0.013657895	23	2.744102068	0.875173698	24	2.675676234	0.84192288	-2.21778162	1.697285521	-1.053482141	-2.077701955	2.673254591	8.547282159	24.29342861	1.115274886	-5.049346415	26.42762626	-2.507027225	-45.32416256
7R3tr	0.817364078	1.033523062	0.190544057	0.626820021	23.31201748	76.68798252	34.33385205	4.6	0.167174044	2.642071116	7R	Oil_pipe_wetland	Mineral_soil_wetland	Wetland	0.213864532	7R3tr	2779.866369	0.015098684	0.017023026	25	2.928858128	0.909900937	25	2.923100274	0.908112159	-1.584502125	3.009423244	-2.515528302	-0.637832365	2.122577539	7.511195602	23.89714393	3.390134659	-2.507217431	28.3983616	0.415817017	-78.99657692
