	9G3MO	9G2MO	9G1MO	8G3MO	8G2MO	8G1MO	7G3MO	7G2MO	7G1MO	5G3MO	5G2MO	5G1MO	4G3MO	4G2MO	4G1MO	3G3MO	3G2MO	3G1MO	2G3MO	2G2MO	2G1MO	1G3MO	1G2MO	1G1MO	10G3MO	10G2MO	10G1MO	1R1MO	1R2MO	1R3MO	2R1MO	2R2MO	2R3MO	3R1MO	3R2MO	3R3MO	4R1MO	4R2MO	4R3MO	5R1MO	5R2MO	5R3MO	6R1MO	6R2MO	6R3MO	7R1MO	7R2MO	7R3MO
9G3MO	0	19.4	31.9	2217	2224.16	2239.62	2325	2339.6	2327.69	8002.19	7982.55	7969.69	19252.21	19256.91	19239.68	19131.23	19146.16	19155.24	18916.78	18897.28	18882.21	27521.64	27503.69	27490.91	14997.4	15010.5	14998.86	107828.4	107833.43	107858.52	98535.24	98547.92	98562.09	98520.21	98495.51	98491.81	98371.14	98368.67	98391.12	98335.51	98326.26	98330.1	94937.93	94936.01	94942.11	97876.1	97883.85	97905.36
9G2MO	19.4	0	12.61	2197.62	2204.78	2220.23	2305.61	2320.2	2308.29	7984.2	7964.55	7951.68	19247.2	19251.91	19234.7	19126.32	19141.26	19150.35	18912.12	18892.6	18877.53	27517.84	27499.88	27487.1	14996.9	15010.01	14998.38	107810.23	107815.26	107840.35	98517.08	98529.76	98543.94	98502.05	98477.35	98473.64	98352.96	98350.48	98372.93	98317.33	98308.08	98311.91	94919.91	94918	94924.1	97858	97865.75	97887.26
9G1MO	31.9	12.61	0	2185.26	2192.41	2207.86	2293.13	2307.75	2295.85	7973.43	7953.78	7940.89	19242.01	19246.73	19229.54	19121.19	19136.15	19145.24	18907.14	18887.62	18872.55	27513.41	27495.44	27482.65	14994.54	15007.66	14996.04	107797.86	107802.89	107827.98	98504.71	98517.39	98531.57	98489.68	98464.98	98461.28	98340.58	98338.11	98360.56	98304.96	98295.71	98299.54	94907.6	94905.68	94911.79	97845.65	97853.4	97874.91
8G3MO	2217	2197.62	2185.26	0	9.84	23.73	159.18	154.03	137.83	5965.84	5945.39	5931.18	18876.85	18882.99	18869.04	18768.52	18785.11	18795.42	18584.87	18564.48	18549.01	27251.38	27232.1	27218.66	15179.05	15193.28	15182.38	105783.19	105788.17	105813.21	96492.26	96504.94	96519.05	96476.94	96451.85	96448.05	96324.87	96322.23	96344.72	96289.46	96280.08	96283.76	92913.34	92911.69	92917.97	95840.3	95848.04	95869.49
8G2MO	2224.16	2204.78	2192.41	9.84	0	15.46	149.38	144.22	128.04	5962.58	5942.12	5927.89	18869.32	18875.48	18861.53	18761.03	18777.64	18787.94	18577.48	18557.09	18541.62	27244.05	27224.77	27211.33	15173.47	15187.71	15176.81	105773.96	105778.94	105803.99	96483.03	96495.7	96509.82	96467.71	96442.62	96438.82	96315.65	96313.01	96335.5	96280.24	96270.86	96274.54	92904.03	92902.39	92908.67	95831.04	95838.78	95860.23
8G1MO	2239.62	2220.23	2207.86	23.73	15.46	0	139.39	132.1	115.8	5949.07	5928.59	5914.36	18867.15	18873.31	18859.39	18758.95	18775.56	18785.88	18575.62	18555.23	18539.75	27242.34	27223.05	27209.6	15175.42	15189.66	15178.78	105759.56	105764.54	105789.58	96468.64	96481.31	96495.43	96453.32	96428.23	96424.42	96301.24	96298.6	96321.09	96265.82	96256.45	96260.12	92889.76	92888.12	92894.4	95816.7	95824.44	95845.89
7G3MO	2325	2305.61	2293.13	159.18	149.38	139.39	0	28.64	35.82	5929.25	5908.66	5894.21	18746.33	18752.54	18738.72	18638.57	18655.23	18665.59	18456.3	18435.88	18420.4	27123.64	27104.31	27090.84	15077.47	15091.76	15080.91	105639.94	105644.92	105669.97	96348.8	96361.48	96375.6	96333.51	96308.45	96304.66	96181.69	96179.06	96201.54	96146.25	96136.88	96140.58	92768.45	92766.78	92773.05	95696.27	95704.01	95725.47
7G2MO	2339.6	2320.2	2307.75	154.03	144.22	132.1	28.64	0	16.33	5903.98	5883.41	5868.97	18768.45	18774.67	18760.89	18660.81	18677.48	18687.85	18478.81	18458.38	18442.89	27146.29	27126.94	27113.47	15103.66	15117.95	15107.1	105634.78	105639.76	105664.8	96343.73	96356.41	96370.52	96328.43	96303.35	96299.56	96176.5	96173.87	96196.35	96141.07	96131.7	96135.39	92763.97	92762.32	92768.59	95691.43	95699.17	95720.63
7G1MO	2327.69	2308.29	2295.85	137.83	128.04	115.8	35.82	16.33	0	5908.52	5887.96	5873.55	18781.23	18787.45	18773.65	18673.52	18690.19	18700.55	18491.36	18470.94	18455.46	27158.76	27139.43	27125.96	15113.25	15127.54	15116.69	105649.87	105654.85	105679.89	96358.84	96371.51	96385.63	96343.53	96318.46	96314.66	96191.58	96188.95	96211.44	96156.16	96146.79	96150.47	92779.21	92777.56	92783.83	95706.59	95714.33	95735.79
5G3MO	8002.19	7984.2	7973.43	5965.84	5962.58	5949.07	5929.25	5903.98	5908.52	0	21.09	37.72	21718.99	21728.09	21722.16	21644.22	21663.73	21676.27	21537.75	21516.41	21500.81	30044.28	30022.44	30007.82	19304.25	19319.7	19310.6	102061.36	102066.05	102090.8	92795.15	92807.77	92821.53	92778.24	92750.98	92746.61	92609.49	92605.91	92628.59	92575.31	92565.23	92568.04	89323.12	89322.99	89330.19	92184.1	92191.76	92212.88
5G2MO	7982.55	7964.55	7953.78	5945.39	5942.12	5928.59	5908.66	5883.41	5887.96	21.09	0	17.22	21702.91	21712	21706.06	21628.05	21647.56	21660.09	21521.39	21500.05	21484.45	30028.83	30006.99	29992.37	19285.2	19300.65	19291.55	102069.68	102074.38	102099.14	92803.33	92815.95	92829.71	92786.43	92759.18	92754.81	92617.74	92614.17	92636.85	92583.57	92573.49	92576.3	89330.83	89330.69	89337.89	92192.11	92199.77	92220.89
5G1MO	7969.69	7951.68	7940.89	5931.18	5927.89	5914.36	5894.21	5868.97	5873.55	37.72	17.22	0	21686.75	21695.84	21689.88	21611.85	21631.35	21643.89	21505.11	21483.77	21468.16	30012.94	29991.11	29976.49	19268.05	19283.5	19274.4	102070.6	102075.29	102100.05	92804.11	92816.73	92830.49	92787.21	92759.97	92755.6	92618.59	92615.02	92637.7	92584.41	92574.33	92577.14	89331.19	89331.05	89338.25	92192.73	92200.39	92221.51
4G3MO	19252.21	19247.2	19242.01	18876.85	18869.32	18867.15	18746.33	18768.45	18781.23	21718.99	21702.91	21686.75	0	13.75	42.47	159.02	159.11	162.06	489.53	496.77	504.57	8403.21	8382.9	8368.98	5837.03	5835.4	5846.03	97913.51	97919.48	97945.13	88714.29	88726.87	88742.03	88705.25	88688.83	88687.24	88619.1	88620.04	88641.31	88579.78	88573.26	88580.14	84821	84813.86	84816.61	87924.27	87932.14	87954.34
4G2MO	19256.91	19251.91	19246.73	18882.99	18875.48	18873.31	18752.54	18774.67	18787.45	21728.09	21712	21695.84	13.75	0	32.59	154.78	153.13	154.99	483.61	491.36	499.51	8395.89	8375.6	8361.68	5833.05	5831.38	5842.02	97923.02	97928.98	97954.64	88723.94	88736.52	88751.68	88714.9	88698.48	88696.9	88628.79	88629.73	88651.01	88589.47	88582.96	88589.83	84830.5	84823.36	84826.11	87933.84	87941.71	87963.92
4G1MO	19239.68	19234.7	19229.54	18869.04	18861.53	18859.39	18738.72	18760.89	18773.65	21722.16	21706.06	21689.88	42.47	32.59	0	125.28	121.85	122.92	451.94	460.05	468.46	8406.99	8386.76	8372.87	5802.68	5800.98	5811.64	97955.45	97961.42	97987.07	88756.32	88768.9	88784.06	88747.28	88730.86	88729.28	88661.16	88662.1	88683.37	88621.84	88615.32	88622.2	84862.93	84855.79	84858.54	87966.25	87974.12	87996.33
3G3MO	19131.23	19126.32	19121.19	18768.52	18761.03	18758.95	18638.57	18660.81	18673.52	21644.22	21628.05	21611.85	159.02	154.78	125.28	0	21.4	35.76	331.76	338.21	345.7	8500.79	8480.7	8466.88	5678.31	5676.65	5687.29	98059.46	98065.43	98091.08	88859.33	88871.9	88887.06	88850.26	88833.8	88832.21	88763.84	88764.76	88786.05	88724.53	88718	88724.87	84966.99	84959.88	84962.64	88069.79	88077.66	88099.87
3G2MO	19146.16	19141.26	19136.15	18785.11	18777.64	18775.56	18655.23	18677.48	18690.19	21663.73	21647.56	21631.35	159.11	153.13	121.85	21.4	0	14.4	330.53	338.27	346.6	8483.2	8463.13	8449.32	5681	5679.29	5689.95	98066.7	98072.67	98098.32	88866.86	88879.43	88894.59	88857.79	88841.35	88839.76	88771.46	88772.39	88793.67	88732.15	88725.62	88732.49	84974.22	84967.1	84969.86	88077.17	88085.04	88107.24
