Sample_ID	Sample_ID-Flux	Land_type	Region	Brazil_Sample_ID	pH	Organic_Matter	P	S	K	Ca	Mg	Al	H_plus_Al_SMP	Sum_of_bases	CEC	V	Al_saturation	B	Cu	Fe	Mn	Zn	N_total	Micro_g_cm	Macro_g_cm	Particle_density	Soil_density	Effective_Porosity	Porosity_total	Total_moisture	CH4	Error_CH4	CO2	Error_CO2	N2O	Error_N2O
I_P72_A001	P1.72.A001	Pasture	FNV	K1	5.4	30	7	16	1.7	11	4	<2	16	16.7	32.7	51	6	"<0,15"	1.8	217	146	1.9	1351	0.0241	0.426	2.71	1.49	0.6466	0.3021	64.66	120	40	320000	30000	0	700
I_P72_A50	P1.72.A050	Pasture	FNV	K2	5.4	35	8	15	1.7	29	6	<2	18	36.7	54.7	67	3	"<0,15"	1.8	72	44.9	2.8	1666	0.0251	0.5544	2.65	1.11	0.6207	0.52	62.07	280	80	229000	8000	-80	30
I_P72_A100	P1.72.A100	Pasture	FNV	K3	5.2	47	7	13	1.7	24	5	<2	28	30.7	58.7	52	3	"<0,15"	1.5	52	61.4	3.2	2198	0.0263	0.5336	2.62	1.15	0.6193	0.4857	61.93	30	20	700000	200000	-700	300
I_P72_A150	P1.72.A150	Pasture	FNV	K4	5.2	39	7	12	1.8	12	5	<2	20	18.8	38.8	48	5	"<0,15"	1.9	57	48	2.9	1925	0.0256	0.488	2.64	1.28	0.6339	0.4	63.39	160	40	490000	90000	-130	60
I_P72_A200	P1.72.A200	Pasture	FNV	K5	4.9	25	5	12	1.3	8	4	<2	16	13.3	29.3	45	7	"<0,15"	1.4	38	52.3	1.5	1470	0.0237	0.489	2.63	1.28	0.6333	0.4001	63.33	150	70	350000	110000	0	30
II_P72_A001	TP72.A001	Pasture	FNV	K6	4.8	39	8	15	1.5	9	4	<2	25	14.5	39.5	37	6	"<0,15"	1.2	52	47.3	2.6	1666	0.0273	0.5322	2.62	1.15	0.6184	0.4849	61.84	170	20	132000	10000	0	200
II_P72_A50	TP72.A050	Pasture	FNV	K7	5.1	50	9	14	1.1	19	5	<2	28	25.1	53.1	47	4	"<0,15"	1.7	74	53.3	4.6	1848	0.0282	0.6057	2.55	0.93	0.5637	0.6789	56.37	6100	1100	1300000	200000	70	30
II_P72_A100	TP72.A100	Pasture	FNV	K8	5	44	7	14	1.9	24	5	<2	28	30.9	58.9	52	3	"<0,15"	1.1	64	38.6	4	1736	0.0265	0.5	2.59	1.23	0.6192	0.4293	61.92	400	100	2400000	900000	303	7
II_P72_A150	TP72.A150	Pasture	FNV	K9	5	34	8	13	1.9	9	6	<2	22	16.9	38.9	43	6	"<0,15"	2.1	123	72.8	2.8	1645	0.0258	0.4754	2.61	1.3	0.6267	0.385	62.67	40000	20000	300000	100000	-30	30
II_P72_A200	TP72.A200	Pasture	FNV	K10	4.9	32	8	12	1.1	9	4	<2	22	14.1	36.1	39	7	"<0,15"	1.1	64	25.8	2.5	1568	0.0258	0.4948	2.64	1.27	0.633	0.4115	63.3	1600	200	3300000	900000	570	70
III_P72_A001	P3.72.A001	Pasture	FNV	K11	6	67	19	14	2	41	12	<2	20	55	75	73	2	"<0,15"	4.7	137	274.3	15.2	2373	0.0251	0.4284	2.72	1.49	0.649	0.3051	64.9	5100	600	260000	30000	0	400
III_P72_A50	P3.72.A050	Pasture	FNV	K12	5.9	33	20	19	2.3	27	14	<2	18	43.3	61.3	71	2	"<0,15"	4.6	196	210.1	9.8	2002	0.0298	0.6198	2.6	0.91	0.5621	0.7129	56.21	28000	4000	900000	200000	-500	300
III_P72_A100	P3.72.A100	Pasture	FNV	K13	5.5	57	16	16	2.6	23	11	<2	28	36.6	64.6	57	3	"<0,15"	6.1	99	254.5	24.7	3255	0.0296	0.5763	2.59	1.02	0.5889	0.5936	58.89	1000	120	1600000	300000	-270	40
III_P72_A150	P3.72.A150	Pasture	FNV	K14	5.4	57	13	10	1.7	19	9	<2	31	29.7	60.7	49	3	"<0,15"	2.7	82	236.5	5.9	2716	0.0316	0.6656	2.58	0.78	0.513	0.8926	51.3	120	20	250000	40000	-320	70
III_P72_A200	P3.72.A200	Pasture	FNV	K15	5.3	60	14	10	2.4	17	9	<2	31	28.4	59.4	48	3	"<0,15"	4.4	79	210.5	12.1	1743	0.0315	0.6013	2.61	0.96	0.575	0.6602	57.5	2200	700	1100000	200000	-960	120
FT_A001	FT.A001	Forest	FNV	K16	5.4	71	12	12	1.8	63	10	<2	31	74.8	105.8	71	1	0.25	0.7	42	22.7	2.2	3668	0.028	0.742	2.51	0.58	0.4165	1.334	41.65	0	300	170000	30000	0	50
FT_A40	FT.A040	Forest	FNV	K17	4.5	55	7	<6	1.6	19	5	<2	20	25.6	45.6	56	4	0.18	0.4	42	32.4	1.2	1988	0.0231	0.6165	2.65	0.96	0.5877	0.6697	58.77	-160	20	360000	60000	260	140
FT_A60	FT.A060	Forest	FNV	K18	4.3	34	9	10	1.5	18	3	<2	25	22.5	47.5	47	8	"<0,15"	0.4	79	18.8	1.6	1715	0.0244	0.5526	2.59	1.1	0.6077	0.5268	60.77	0	200	110000	40000	30	50
FT_A80	FT.A080	Forest	FNV	K19	4.3	25	9	15	1.3	13	3	3	28	17.3	45.3	38	15	0.17	0.5	50	15.8	0.7	1624	0.0249	0.645	2.61	0.86	0.5524	0.7773	55.24	30	20	100000	50000	100	20
FT_A100	FT.A100	Forest	FNV	K20	4.8	39	11	16	1.4	24	6	<2	22	31.4	53.4	59	3	0.18	0.8	51	54.3	2.1	2121	0.0245	0.6143	2.62	0.95	0.5801	0.675	58.01	-100	20	160000	40000	460	50
FDOC_A001	FDOC.A001	Forest	FNV	K21	4	108	10	11	1.7	33	11	4	166	45.7	211.7	22	8	0.16	2.4	327	91.6	5.2	2464	0.0231	0.5157	2.32	1.07	0.5534	0.5035	55.34	550	60	310000	90000	390	30
FDOC_A25	FDOC.A025	Forest	FNV	K22	5	24	7	18	2.2	19	7	<2	22	28.2	50.2	56	3	"<0,15"	1.8	65	131.3	4	1470	0.0243	0.5467	2.67	1.15	0.6297	0.4986	62.97	10	20	500000	200000	440	50
FDOC_A50	FDOC.A050	Forest	FNV	K23	5.8	32	10	13	2.3	26	8	<2	18	36.3	54.3	67	3	"<0,15"	1.6	60	123.5	4.6	2296	0.0265	0.6786	2.65	0.78	0.5245	0.9024	52.45	10	20	700000	200000	220	20
FDOC_A75	FDOC.A075	Forest	FNV	K24	5.1	167	16	18	1.8	75	12	<2	52	88.8	140.8	63	1	0.17	0.9	31	58.3	4	2065	0.0175	0.5287	1.71	0.78	0.4064	0.7038	40.64	-80	20	590000	40000	10	20
FDOC_A100	FDOC.A100	Forest	FNV	K25	6	33	10	16	1.4	36	11	<2	15	48.4	63.4	76	2	"<0,15"	1.6	42	70.6	3	1778	0.0255	0.5203	2.68	1.22	0.6405	0.4459	64.05	10	30	300000	100000	150	30
SF99_A001	SF99.A001	Secondary_forest	FNV	K26	4.8	27	8	16	1.1	13	6	<2	20	20.1	40.1	50	5	"<0,15"	1.6	45	50.1	1	1652	0.0264	0.4991	2.7	1.28	0.6478	0.4088	64.78	-80	20	450000	90000	20	80
SF99_A50	SF99.A050	Secondary_forest	FNV	K27	4.9	34	8	16	1	54	9	<2	22	64	86	74	2	"<0,15"	1.4	79	25.1	0.8	1792	0.0393	0.6243	2.62	0.92	0.5691	0.711	56.91	10	30	210000	40000	0	140
