ASV_ID	Functional_group	Type	Taxonomy
0bb93dcaa25c3ebaaaea2beb98bd1e87	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;;
3811fe846adcf1e6c5abbb4dd9b92a52	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;;
6629366685ae0760012ee6683ec7ebf8	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;;
6f61789673435791349d744479bf40a2	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;;
aa104b6fde78e3584d7e60eed16d302a	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;;
ca0a1d3f67a2f1e1055fb756e1230ebe	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;;
cbef42c3dd2093375215622c012f3a29	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;;
fd67c458300861d15adf2f8cea5c158e	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;;
04eb618d366d75666415dc77373b3dc8	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;;
07f8d4cdabe2915267ee2733167e06ce	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;;
61ff68037d98653f6cca50dea365e8e1	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;;
a4fb732e292c554c6024fcb920fe5a89	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;;
a7c12239c7e55f51d37ad3cf7f8b0e01	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;;
e1dab3d84cf84de20f3713bf0b793700	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;;
2279eedc44096158fadedf75442d7e88	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;;
341aed898793e45c7e30104d3b4a1aa6	Methanogen	Hydrogenotroph	Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;;
